535,"Fall 2012",4,8,"Monday","First","Homework","Staff",0,0,0,20120917,20130121,1,"http://sfschool.org/drupal/node/16","Library",0,0,0,
536,"Fall 2012",1,8,"Monday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120917,20130121,1,"http://sfschool.org/drupal/node/20","Green Top/Library",0,0,0,
537,"Fall 2012",4,8,"Monday","First","Fingers Afire! Fun with Typing","Bethany",0,0,10,20120917,20130121,1,"http://sfschool.org/drupal/node/90","4th Grade Room",0,0,0,
538,"Fall 2012",2,6,"Monday","First","Design and Architecture Workshop","Gregory Gavin",2,30,10,20120917,20130121,1,"http://sfschool/drupal/node/91","Art Room",0,0,0,
539,"Fall 2012",1,5,"Monday","First","Creative Kitchen","Peter",1,15,10,20120917,20130121,1,"http://sfschool.org/drupal/node/13","Kitchen",0,0,0,
540,"Fall 2012",6,8,"Monday","First","Junior Counselor/Creative Kitchen","Staff",0,0,3,20120917,20130121,1,"http://sfschool.org/drupal/node/65","Preschool, Art Room, Kitchen",0,0,1,
541,"Fall 2012",3,8,"Monday","First","Flute","Sue",4,60,2,20120917,20130121,1,"http://sfschool.org/drupal/node/24","5th Grade Classroom",0,0,0,
542,"Fall 2012",3,8,"Monday","Second","Flute","Sue",4,60,2,20120917,20130121,1,"http://sfschool.org/drupal/node/24","5th Grade Classroom",0,0,0,
543,"Fall 2012",6,8,"Monday","First","Cross Country","Staff",0,0,0,20120917,20130121,1,"http://sfschool.org/drupal/node/47","Greentop",,,1,
544,"Fall 2012",6,8,"Monday","First","SMART","Staff",0,0,0,20120917,20130121,1,"http://sfschool.org/drupal/node/72",,0,0,1,
545,"Fall 2012",4,8,"Tuesday","First","Homework","Staff",0,0,0,20120918,20130122,1,"http://sfschool.org/drupal/node/16","Library",0,0,0,
546,"Fall 2012",1,8,"Tuesday","First","Indoor/Outdoor Choice","Staff",0,0,0,20120918,20130122,1,"http://sfschool.org/drupal/node/20","Green Top",0,0,0,
547,"Fall 2012",1,5,"Tuesday","First","Academic Chess","Jeffrey",2.5,37.5,12,20120918,20130122,1,"http://sfschool.org/drupal/node/28","4th Grade Room",0,0,0,
548,"Fall 2012",1,5,"Tuesday","First","Monsters, Robots, & Wizards: Discoveries in Writing & Illustration","Malcolm",0,0,10,20120918,20130122,1,"http://sfschool.org/drupal/node/92","5th Grade Classroom",0,0,0,
549,"Fall 2012",2,6,"Tuesday","First","Design and Architecture Workshop","Gregory Gavin",2,32,10,20120918,20130122,1,"http://sfschool.org/drupal/node/91","Art Room",0,0,0,
550,"Fall 2012",1,4,"Tuesday","First","Drumming","Michaelle",3,48,5,20120918,20130122,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
551,"Fall 2012",1,4,"Tuesday","Second","Drumming","Michaelle",3,48,5,20120918,20130122,1,"http://sfschool.org/drupal/node/23","Music Room",0,0,0,
552,"Fall 2012",6,8,"Tuesday","First","Guitar/MS","Bryan",4,64,2,20120918,20130122,1,"http://sfschool.org/drupal/node/62","6th Grade Room",0,0,0,
